service_name,company_name,service_id,consumerIdentification,orientation,patter_regular,ejemplo
Pensiones,Virgen de Guadalupe Chimb,efb51427-fcb0-4b76-bcf2-8501ebd0b56f,Cod. Alumno,El código de alumno tiene 10 dígitos y contiene letras.<br>Por ejemplo: P578709700,,
Pago de Liquidación,Villas Oquendo Pago Electrónico,0deddc8c-0b5d-4ee8-898e-1d2896377a03,Número de Liquidación,,,
Edificio Villar2,VILLAR2 -NEXO,2d953e62-7fa6-458c-bcf7-3f92ab24cdd9,Nro. de Departamento,,,
Matrícula - Pensiones,Villa Caritas - San Pedro ,6ea0f358-fbd4-442b-a028-49c98797d7b8,Cod. Alumno,,,
APAFA,Villa Caritas - San Pedro ,9b0eab05-de89-48ec-aec4-05dc0e8b381c,Cod. Alumno,El código tiene 8 dígitos,,
Pago - Soles,Verisure Peru SAC,f69181f1-374f-47ae-9cd0-d43047217293,Nro. de Contrato,,,
Pago Instalaciones,Verisure Peru SAC,29d9adbd-3310-47c2-ad2a-1ed9124a43cd,Nro. de Cliente,El número de cliente tiene 7 dígitos.<br>Por ejemplo: 1578952,,
Internet,Vemax,c724a8bb-789e-4bd8-8be0-69db836e4e88,DNI,,,
Cobranza,Velax SA,A0578CCA-EECB-45AA-93EA-02BBF21A3350,RUC o DNI,,,
Edificio Vanguard,VANGUARD - NEXO,ca05dd6a-5717-497d-b676-2b1a8ee21279,Nro. de Departamento,,,
Pagos Varios,Vallesol Comercial Isabelita,30c0fe7a-75d4-47c5-8395-3820ba804c56,RUC o DNI,,,
Talleres - Otros,Vallesol - Colegios,1B9ADC08-4F11-4155-8B83-7A3747455D73,Cod. Alumno,,,
Pensiones,Vallesol - Colegios,5bc079e0-f67a-4799-b053-54ec66892c6b,Cod. Alumno,El código tiene 4 números + la letra 'V' + 3 números. <br>Por ejemplo: 2024V123,,
Edificio Valle Grande 3,VALLE GRANDE 3 - NEXO,D5052FE5-38AF-4391-A926-71ACEF6E8F39,Código de Pago,El código empieza con 'VG3'. <br>Por ejemplo: VG3A102,,
Vsi Contra Entrega,Vainsa,3A558E29-E0D3-4DF2-AFAE-FFF1EE29F3DF,DNI o RUC,,,
Posgrado,UTEC,59b76c3e-7f14-49fd-b8e7-918b623a2eef,DNI o RUC,,,
Pensiones,UTEC,848a1fc3-5f30-4a0b-8579-a9c1ef95c4a3,DNI o RUC,,,
UTEC Ejecutivo,UTEC,01b14c4b-cbf8-4ecc-9c32-0e57ab8913ef,Nro. de DNI - RUC - CE,,,
Urbanizadora Jardín Soles,Urbanizadora Jardín SA,f3a22e86-21ae-4728-b89d-08d05cb03288,RUC O DNI DEL CLIENTE DEPOSITANTE,,,
Luxo,URBANA-PERU LUXO,E4A50FFF-6529-428B-A495-C4C30E9F0931,DNI,,,
Hit,URBANA-PERU HIT,1eba6c69-e7cc-49f2-bf30-aab04f06bfe0,DNI,,,
Belalba,URBANA- PERU BELALBA,CE8F5D38-5B4C-4FC7-B420-387997332EE1,DNI,,,
Ativo,Urbana Perú,A0B49F9D-4CEB-45A4-8B23-A9FE3AEC5CA4,DNI,,,
Colegio Verdad y Vida,UPT Tacna,F9D97A53-E9D2-4BCE-9B1D-6BECA517E90E,Código de Estudiante,,,
Post Grado,UPT Tacna,92665f74-b4f3-4658-80a7-9ad0f9afc3e4,Cod. Alumno,,,
Pensiones,UPT Tacna,5344d898-0ba0-461b-bc91-e97f47634153,Cod. Alumno,,,
Instituto de Idiomas ,UPT Tacna,B7E4303B-5E4E-48C0-BD37-47C7193FDB36,Código del Estudiante ,El código del estudiante tiene el siguiente formato: <b>2016057210</b>,,
UPC Soles,UPC - Universidad Peruana de Ciencias Aplicadas,e1e2121a-fd8a-4b16-8c94-ccc07cb27491,Código de Alumno UPC,El código de alumno tiene 10 caracteres entre números y letras.<br><br>Por ejemplo: U040431940,,
UPC,UPC - Universidad Peruana de Ciencias Aplicadas,15c1c4e1-d4e9-4478-9afb-a1f79dddb1e0,Cod. Alumno,,,
Matrícula,Universidad Tecnológica Latinoamericana en Línea - México,27051492-2B9F-4C2E-A3FA-7AFE3AABD58C,Matrícula,El número de matrícula tiene 9 dígitos.<br>Por ejemplo: 240278095,,
Matrícula / Pensiones,Universidad Señor de Sipán,2e4c1738-3656-46cc-a3d9-325d812399fc,Código de Alumno,"El código de alumno tiene 8 dígitos y en muchos casos es el DNI.<br>Puedes pagar hasta S/.3,000 en esta empresa.",,
Servicios Programables,Universidad Señor de Sipán,cdc40a34-22a3-4445-b2ee-6e2c4480c4a5,Código de Alumno,"El código de alumno tiene 8 dígitos y en muchos casos es el DNI.<br>Puedes pagar hasta S/.3,000 en esta empresa.",,
USMP Recaudadora,Universidad San Martin de Porres,9f0bc875-14aa-45a5-9f25-b77b150068ed,Cod. Alumno,,,
Cuota de Pensiones,Universidad San Juan Bautista,1c56ac65-e15e-4ec2-ab6f-8edbfd4f3acc,Cod. Alumno,,,
Devoluciones Trabajadores,Universidad San Ignacio de Loyola,6aba7df6-21ba-4aa8-85e4-e39a97eeb724,DNI,,,
Pago de Pensiones con Código de Programa y Alumno,Universidad San Ignacio de Loyola,f9ad0ab2-ab30-44fa-a8db-b9e05ac2814a,Código de programa y alumno,El código de alumno tiene números y letras.<br>Por ejemplo: <b>Z47283095</b>,,
Pago de Pensiones con Código de Programa y Alumno,Universidad San Ignacio de Loyola,53ee0a4b-cf62-4b9c-b455-d45cf79fb63d,Código de Programa y Alumno,El código de alumno tiene números y letras.<br>Por ejemplo: <b>Z47283095</b>,,
Pensiones,Universidad Ruiz de Montoya,de2fdb1a-d8cb-4847-945b-926ec957bd56,Cod. Alumno,,,
Pensiones y Pagos Varios,Universidad Ricardo Palma,54238a2f-0e8d-4a69-8fde-15fa8d4811f6,Cod. Alumno,El código de alumno sólo tiene números y tiene 8 dígitos.<br>Por ejemplo: <b>48717553</b>,,
Pensiones Soles,Universidad Privada del Norte,f7ee14b3-1705-41d2-8e38-8de683440156,Cod. Alumno,"Los códigos de alumno tienen números y letras.<br>Por ejemplo: U00430524 o U202417002<br><br>Puedes pagar hasta S/.3,000 en esta empresa.",,
Matricula/Pensiones,Universidad Privada Antenor Orrego,531a35a9-2561-42d0-a6f5-ac79381148f4,ID Alumno,,,
UPEU Lima,Universidad Peruana Unión,b2027483-c575-40a4-9939-27234b63a015,Código de Alumno o DNI,,,
UPEU Juliaca,Universidad Peruana Unión,054234af-336c-45f1-80bf-9a5e48f5b2ff,Código de Alumno o DNI,,,
UPEU Cat,Universidad Peruana Unión,2286fc20-f6e8-42a9-adad-f84f99bec873,Código de Alumno o DNI,,,
UPEU Tarapoto,Universidad Peruana Unión,1ED156BE-5ED7-436D-A319-7EA18FD310ED,Código de Alumno o DNI,,,
UPCH Pregrado,Universidad Peruana Cayetano Heredia,776f7151-a74e-485b-9a5e-77e37bfc7f32,DNI,,,
Tienda UPCH,Universidad Peruana Cayetano Heredia,F09D2945-9B58-4DA2-B5D3-184A56745CD4,DNI,,,
UPCH Posgrado,Universidad Peruana Cayetano Heredia,2d92ffc8-774d-4cf3-a3d2-a494d714fa33,DNI,,,
Pensiones,Universidad Norbert Wiener,c1fc9dab-4d58-4e94-b812-90c6cbf9c6b7,Cod. Estudiante,,,
Derechos Académicos,Universidad Norbert Wiener,6c8d52c7-c756-42a6-bd6b-c2f1d3a5aef8,DNI,,,
Trámites Académicos,Universidad Norbert Wiener,2d7591cd-30b7-4957-8faf-5195fedf6efd,Cod. Estudiante,,,
Pensiones,Universidad Nacional Mayor de San Marcos,d0ae5782-591b-4315-a408-3a190721075d,DNI del Alumno,,,
Pagos Varios,Universidad Nacional Mayor de San Marcos,54A8AE01-F66B-49B7-9276-858D91CB3C94,Código de Pago,El código comienza con 'T' seguido de 7 caracteres alfanuméricos.,,
Pagos Varios Dólares,Universidad Nacional Mayor de San Marcos,08C8B47D-D2AB-4D7C-9CD4-4DDC6B19E5D1,Código de Pago,,,
UNFV - Matrícula y Pensiones,Universidad Nacional Federico Villarreal,33749cba-29ea-4d95-847e-f94b723447b1,Código de Estudiante,El código de estudiante tiene el siguiente formato: <b>2018004103</b>,,
Centro de Idiomas,Universidad Nacional de San Agustin de Arequipa,298fb3a9-8444-4bbc-8b7a-8d6e1e85fffc,Cod. Alumno,"El código de alumno sólo tiene números.<br>Por ejemplo: 48701565<br><br>Puedes pagar hasta S/. 3,000 en esta empresa",,
Unsa Virtual,Universidad Nacional de San Agustin de Arequipa,81182693-fae1-4e98-8809-fc2d2d0e219d,Cod. Alumno,"El código de alumno tiene 8 caracteres.<br>Por ejemplo: VS74Q367<br><br>Puedes pagar hasta S/. 3,000 en esta empresa",,
Pago Estudiantes,Universidad Nacional de Ingeniería,82b5dcc0-e11e-4ff0-82a9-964a43ef2c6d,"DNI, RUC, Carnet de Extranjería",,,
Servicios CEPRE-UNI,Universidad Nacional de Ingeniería,9b258ade-9774-474e-ba47-31d20258ab50,"DNI, RUC, Carnet de Extranjería",,,
"Matrículas, Pensiones y Otros",Universidad Marcelino Champagnat,AA7D2F44-7A6E-4465-8194-3904F428C86B,Código de Estudiante,,,
Proceso de Admisión,Universidad La Salle,A9D2CE61-674C-4BD1-83CF-1240D68723DD,Código de Alumno o Postulante,El código de alumno tiene el siguiente formato: ULS099<br><br>Este código te lo debe haber facilitado la Universidad.,,
Inscripción Matrícula,Universidad Jaime Bausate y Meza,d17cb0a7-671b-4222-9a93-400ebd4c18b5,Cod. Alumno,El código alumno es de 10 dígitos y tiene el siguiente formato: <b>2021220024</b>,,
"
Pensión - Matrícula - Cuota - Factura",Universidad del Pacífico,1f82d5e1-641a-4580-9f99-0c081b537fb1,Cod. Alumno,,,
Pensiones Ulima,Universidad de Lima,ad636e63-57bf-4ef0-8d5c-2749b1fc1a3e,Nro. de DNI o Código de Pago,,,
Pregrado-Postgrado-Distancia,Universidad de Huánuco,6c9534be-abc0-49a8-9a1b-bbc2e81bb58a,Cod. Alumno,"Puedes pagar hasta S/.3,000 en esta empresa.",,
Pensiones,Universidad de Ciencias y Humanidades,0021a537-9e9c-41f6-bc55-ea0495a060ee,Cod. Alumno,El código de alumno tiene el siguiente formato: <b>25108077</b>,,
Pensiones,Universidad de Ciencias y Artes de América Latina,9405cbad-7d0a-4945-9325-b0deffceb50b,Cod. Alumno,El código de alumno tiene 8 dígitos y sólo contiene números.<br>Por ejemplo: 45387571,,
Pensiones,Universidad Continental,a246bef6-3afb-4f99-affb-e6a10e1331b8,DNI,"Puedes pagar hasta S/.3,000 en esta empresa.",,
Pensión Genesis,Universidad Científica del Sur,5bc6926f-7c5b-4294-b8d4-d109d0606df2,Cod. Alumno,La mayoría de códigos de alumno tienen 9 dígitos.<br>Por ejemplo: 180001215,,
Tarifario Soles,Universidad Cayetano Heredia,0121ECD9-573E-4963-A463-9D7F9545DE56,DNI,,,
Tarifario Dólares,Universidad Cayetano Heredia,609B743D-135E-4735-96D2-4AA7C58CF9BD,DNI,,,
Pensiones,Universidad Católica Sede Sapientiae,69a63080-ca89-403c-84f3-74871cc52da9,Cod. Alumno,,,
"Matrículas, Pensiones y Otros",Universidad Católica Santo Toribio de Mogrovejo,ab54cf81-deb5-4f6b-a894-4692b78c8c3d,Cod. Alumno,La mayoría de códigos de alumno tienen 8 dígitos.,,
Pensiones UCSP,Universidad Católica San Pablo Arequipa,277f56cb-f0d2-4f21-bea3-90cc9676b5d7,Código Pagos Bancos,,,
Pago Fact Devol Viáticos,Universidad César Vallejo Trujillo,5b357b41-fa3c-479f-9076-03ef17e619bb,Nro. de RUC o DNI,No ingresar otros códigos que no sean RUC o DNI,,
Pensión - Matrícula - Tru Olivo,Universidad César Vallejo Tru Olivos,215922a3-286b-4a91-911a-62f28be0743e,Código del Alumno,"Puedes pagar hasta S/.3,000 en esta empresa.",,
Pensión - Matrícula Otros,Universidad César Vallejo,4e522e9b-ff87-4744-93c5-6ac8f79e99b0,Código del Alumno,"Los códigos de alumno tienen 10 dígitos.<br>Por ejemplo: <b>TI780FEF0F</b> <br><br>Puedes pagar hasta S/.3,000 en esta empresa.",,
Pensiones y Matrícula,Universidad Autónoma del Perú,ae8180b6-ee12-4d9d-8b87-02ef11c2f3ec,Cod. Alumno,La mayoría de códigos de alumno tienen 8 dígitos.<br>Por ejemplo: 48798621,,
Pensiones,Universidad Autónoma de Ica,6eedba71-9e52-4891-8b63-9415725c2eae,Cod. Alumno,,,
Posgrado Recaudación,Universidad Autónoma de Ica,4A401B1D-EF8B-47AE-B2F2-B6227A762570,Posgrado VAI,Tu código tiene 8 dígitos. <br>Por ejemplo: 70314799,,
Cobranza Soles,United Laboratories Perú Sac,14804B61-8523-4099-95E1-0A2D8E6A95E4,"RUC, DNI, Nombre o Razón Social",,,
Union Israelita del Perú,Union Israelita del Perú,9175f6e1-6e2f-461b-8062-abbd9bd8a92f,Código de Socio,El código inicia con 'B' seguido de 3 dígitos. <br>Por ejemplo: B076,,
Locales,UnimPro,c31a242f-da0d-47e5-af54-63bd8c2493b9,Nro. de RUC de Cliente,,,
Contenedores Vacios,Unimar SA,973a7e9e-f3d1-42ad-abb2-54631721dc83,Nro. de Pedido - RUC,,,
Bienestar Universitario,UNALM - La Molina,0112cea9-9c8b-4448-ac4b-0591f8f9377b,Cod. Alumno,,,
FDA - Escuela de Post Grado,UNALM - La Molina,5274567e-8c6b-4ee0-9269-e12e87bb7b7e,Código de Pago,,,
EPG - Escuela Postgrado,UNALM - La Molina,85deafea-f8a4-43dd-b6f8-b3a62c609da7,Código de Pago,,,
Pagos Académicos,UNALM - La Molina,08bc03f2-2cbc-4a45-ba10-81b90be75f8e,Cod. Alumno,,,
Guia del Postulante,UNALM - La Molina,0497ba16-08ad-4625-8f2b-e7f4abb4b728,Dni del Postulante,,,
FDA - Curso Nivelación,UNALM - La Molina,9b2a3d7d-009d-48d3-9c6f-0956352659ef,Cod. Alumno,,,
Examen Admisión Pregrado,UNALM - La Molina,b64ee32e-21dc-474b-a9ca-025d0af1412f,DNI,,,
Deuda Unificada - Matríucla,UDEP Piura,8ABF053D-42E1-41F6-B7AF-2B2444DD50ED,DNI,,,
Pregrado,UDEP Piura,62959291-DD16-401C-8BD0-231116D21ECA,DNI,,,
Idiomas,UDEP Piura,44BCBC4D-4AF0-49CF-993E-EC7ED5380E9B,DNI,,,
Derechos Académicos,UDEP Piura,DD353157-B732-4151-9D7C-196A08383332,DNI,,,
Confucio,UDEP Piura,5AFE1D02-88F1-4880-921F-154558D77C5B,DNI,,,
Cobranza Soles,TYC CDA,811CD8D0-9606-49D3-9B5F-6AE5A405C270,DNI o RUC,,,
Pensiones,Turicara - Colegios,b01aa4b8-a6b8-46ac-97e8-87b27ae6e2e5,Cod. Alumno,El código de alumno tiene 8 dígitos.<br>Por ejemplo: 2018T067,,
Talleres - Otros,Turicara - Colegios,885E4B64-7B4E-4DD4-9CB8-373A846EA0BA,Cod. Alumno,El código de alumno tiene 8 dígitos.<br>Por ejemplo: 2018T067,,
Tupay,Tupay,ef0175ed-953e-4699-9532-2c4a74c084b8,Código de Pago,"El Código de Pago puede contener números, letras o ambos. Ingrese o copie todo el Código de Pago mostrado al elegir Tupay como método de pago.",,
Cobranza Soles,Tu Kompa Fondo de Inversión,f27fd417-3593-48c7-9bfa-12cf6186af76,DNI,,,
Cobranza,Tu Fibra,3D1236D8-5114-4B9F-94A7-BDE502C6F406,DNI - RUC - Codigo Cliente,,,
Pagos en Dólares,Travel Payments,1a234347-c02a-4a7a-b786-186c941cbd47,Código de Pago,"El código de pago tiene 9 dígitos. Puede tener ceros ""0"" adelante.",,
Cobranzas Soles NYK,Transmeridian SAC,9820aa6e-e516-4602-be37-bec8342bd910,Nro. de Servicio,,,
Cobranzas NYK,Transmeridian SAC,359a9746-c1ad-4ba8-9e04-c8206c581a31,Nro. de Servicio,,,
Cobranzas PIL ME,Transmeridian SAC,fe321bf6-274c-4617-b97a-174e68d6b4cd,Nro. de Servicio,,,
AGMA Regular,Tramarsa,16c3c1bf-1771-4c15-920a-182d3b233f7d,Código de Cliente - RUC - DNI,,,
Trahis,Trahis,245DE746-208B-459E-83E7-FFF94B025242,Cod. Cliente,,,
Mantenimiento,Tradizione,4BE2891D-A558-4DAA-9D9B-C8C6A7946E00,Código de Departamento,El Código de Departamento es: T + Nro. de Departamento. Por ejemplo: T101.,,
Facturación en Soles,Toyota del Perú SA,430be847-2669-4439-b6e0-477a2dc0f451,Nro. de RUC de Cliente,,,
Facturación,Toyota del Perú SA,214108d6-3209-45a9-abc4-f41f2719dd38,Nro. de RUC,,,
Cuota,Touring Perú,6b5da819-a7d0-4fb0-85d3-e0d434fbb125,Código de Asociado,El código de asociado tiene el siguiente formato: <b>AD00138982</b>,,
Pensiones,Toulouse Lautrec,a2bdac3f-2431-4214-aff7-a881fac6f987,Cod. Alumno,,,
Cobranza,Top Partner Sac,70EA4D24-3AFB-4406-9ACD-E9BC837EAFA4,Codigo de Cliente,,,
Recaudadora Soles,TK Elevator Perú,45f63531-74a2-4599-b205-746b92f466d8,Código de Cliente (6 Dígitos),,,
Cobranza,Tierra Sur,9758DB5F-4BE0-48AE-925B-C537B00E2FB8,Codigo Cliente,La mayoría de códigos de cliente tienen 8 dígitos.,,
Cobranzas,Tienda Pago,28e0c3a1-4bde-4433-b874-a8e2e02de8d4,Cod. Cliente,Ingresa los 8 dígitos de tu Código de Cliente. Obtenlo por WhatsApp al 981-212-800 o llamando al 0800-00412.,,
Condomnio The Most,The Most - Nexo,b7ff83d8-8684-499f-bdd0-fd412b3b8a22,Nro. de Departamento,,,
Edificio The Modern,THE MODERN - NEXO,7BEE7E6A-5B87-455F-B1CE-86F56DC1A5DC,Código de Pago,,,
Cobranza soles,Terranorte,E993F989-FE7F-4A20-AF08-8A9C4202461D,Codigo de Cliente,,,
Ten Cobranzas Soles,Ten Internet,4073207A-251B-45D9-A9A4-93F0296D258E,Nro. de RUC o DNI,,,
Tecsup Crédito Educativo Trujillo,Tecsup Trujillo,64188294-03f6-40b5-b898-99c9ee6b7294,Nro. de DNI o CE,,,
Tecsup Trujillo CPE,Tecsup Trujillo,08e904e5-9753-4aa1-9bf4-839ec472413d,Nro. de DNI o CE,,,
Tecsup Trujillo Pensiones PFR,Tecsup Trujillo,56023301-404b-402f-b621-7ec320f695bc,Nro. de DNI o CE,,,
Tecsup Lima Crédito Educativo,Tecsup Lima,bf1faaef-a890-48c4-8eaf-2c40b898074f,DNI o CE,,,
Tecsup Lima CPE,Tecsup Lima,010fe4f3-6e3c-4d1e-a8aa-6b5904e8b521,DNI o CE,,,
Tecsup Lima Pensiones PFR,Tecsup Lima,804868f5-5408-4464-ab91-498b20d92c26,DNI o CE,,,
G Breca,Tecsup Lima,60BCC6D0-BEE2-43E5-B247-D95260C94095,Nro. de Ticket,La gran mayoría de tickets tienen 6 dígitos.,,
Cursos de Seguridad Lima,Tecsup Lima,25eeabd7-ad69-41b8-9b8a-bb521856d31f,Nro. de Ticket,El número de ticket tiene 6 dígitos.<br>Por ejemplo: 887099,,
Crédito Educativo,TECSUP Arequipa,f3b3f312-0072-4d65-9e65-1d7081bd2ad4,DNI - CE,,,
CPE,TECSUP Arequipa,0f709155-c3d8-4694-9994-353343ef5221,DNI - CE,,,
Pensiones PFR,TECSUP Arequipa,6ce21ed6-e7d0-4851-93ff-779f63f6f4cf,DNI - CE,,,
Cursos de Seguridad,TECSUP Arequipa,913cb492-1517-4924-abd4-2f1368d557ab,Nro. de Ticket,El Nro de ticket tiene 6 dígitos. <br>Por ejemplo: 886524,,
Pago de Servicios,Tecnocable,A0C57E85-8CFA-4C20-A9AA-B8F441EA757B,Cod. Cliente,El código de cliente comienza con 1500 y tiene entre 7 y 9 dígitos. <br>Por ejemplo: 1500982,,
Pagos Varios,Tecavi,9dec428a-c62c-4a9d-a9a9-d438c3a108bd,Cod. Cliente,La mayoría de códigos de cliente tienen 8 dígitos.,,
Tambos Lima,TAMBOS LIM,B5D5FF8A-1382-4680-8FB8-CE8717371492,Dni o Ruc,,,
Tambos Huaraz,Tambos Huaraz,F95AFB03-18FC-4FEC-BA96-AB073094A47A,DNI o RUC,,,
Tambos Cusco,Tambos Cusco,E2EF0F26-FE99-449A-A8D9-C24FF7CD44B9,DNI o RUC,,,
Tambos Arequipa,TAMBOS AQP,1569CE6D-E2F8-4435-891D-58C319C87F19,Dni o Ruc,,,
Tambos Camana,Tambos,7518ED63-AA28-4BAE-8422-E3CE78930209,Dni o Ruc,,,
Recaudación,Talma Servicios Aeroportuarios SA,a171a9ad-76d7-4af5-9847-f6764c030a8e,"Nro. de DNI, RUC, Operacion",,,
Edificio Tacna,TACNA - NEXO,a83978f9-8261-4513-9ec9-d4bbf66d6e00,Nro. de Departamento,,,
Sutran En Línea,Sutran,86c7eeec-40b9-47bc-9077-ee8c13641433,Infrac - Ticket,El código de ticket tiene el siguiente formato: <b>7118001727</b>,,
Edificio Conexion Lima,Surquillo Nexo Gestion Inmobiliaria,9ccb6499-3316-4713-adda-ad1b189c4a8a,Nro. de Departamento,,,
Pago de cuota,Surgir,1314F8DF-CA84-450C-9FF1-3BF87FA44B09,DNI,"Puedes pagar hasta S/.3,000 en esta empresa.",,
Edificio Seed,Surco Nexo Gestion Inmobiliaria,251475A4-2F4F-4175-B2B7-7A0087BE1B30,Nro. de Departamento,,,
Pucallpa,Supercable,c9cfd83f-c244-42d7-a69a-0d1808a0bd94,Cod. Cliente,,,
Cajamarca ,Supercable,235122da-cb83-428d-bb3c-6aef4923ba2a,Cod. Cliente,,,
Jaen,Supercable,0c781623-2310-4fb3-8b9d-812bfdf4e787,Cod. Cliente,,,
Sullana,Supercable,23eca02c-fae7-48ac-a684-3aaeeac47def,Cod. Cliente,La mayoría de códigos de cliente empiezan con 200 y tienen 9 dígitos.<br>Por ejemplo: 200051973,,
Piura,Supercable,241c7072-2fb8-4849-87e5-860fa149db49,Cod. Cliente,El código de cliente tiene 10 dígitos y comienza con 01000 o 100054. <br>Por ejemplo: 0100052178,,
Pago de Valor,Sunat,93008261-bce6-4511-96f3-94fba1c37c90,RUC,,,
Pago NPS,Sunat,b4631b6d-9655-43de-829d-f50e44be1e45,Numero de Pago Sunat,"Ingresa el Nro de Pago que se genera en el portal Sunat Operaciones en Línea (SOL) cuando eliges como medio de pago ''Número de pago SUNAT''. El código es temporal, asegúrate que no haya expirado. Ejemplo: 0002468135701",,
Cobranza Multas Soles,Sunafil,e634c2aa-ae86-4e04-a0fa-3fa685e5703c,Código de Pago,El código de pago contiene 10 dígitos,,
Cobranza Fraccionamiento,Sunafil,cfb29674-f609-4e53-9d9a-5b4d670d164a,Código de Pago,El código de pago contiene 10 dígitos,,
